Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Neuronal Ion Channel Clustering (GO:0045161)	4/11	4.430301974929859E-5	0.06985103952594489	0	0	28.641578370478626	287.11629133268514	SPTBN4;CNTN2;NRCAM;AGRN
Clustering of Voltage-Gated Sodium Channels (GO:0045162)	3/5	7.423064774276821E-5	0.06985103952594489	0	0	75.01147959183673	713.2341605906181	SPTBN4;NRCAM;AGRN
Positive Regulation of Actin Filament Depolymerization (GO:0030836)	3/11	0.0011211131662048947	0.6062657316462619	0	0	18.747130102040817	127.35737583122842	CARMIL1;CRACD;F2RL1
Arginine Metabolic Process (GO:0006525)	3/13	0.0018870115134010017	0.6062657316462619	0	0	14.996173469387756	94.06741075609453	NOS3;ASL;NAGS
L-glutamate Transmembrane Transport (GO:0015813)	3/16	0.003535969374553672	0.6062657316462619	0	0	11.533751962323391	65.10535163574856	SLC7A11;SLC17A8;SLC1A7
RRNA 5'-End Processing (GO:0000967)	2/5	0.003740193574084189	0.6062657316462619	0	0	33.25190839694657	185.83221084604932	ABT1;NOP9
Endonucleolytic Clvg to Generate Mature 5'-End of SSU-rRNA Fm (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000472)	2/5	0.003740193574084189	0.6062657316462619	0	0	33.25190839694657	185.83221084604932	ABT1;NOP9
Establishment of Centrosome Localization (GO:0051660)	2/5	0.003740193574084189	0.6062657316462619	0	0	33.25190839694657	185.83221084604932	PKHD1;DLG1
Homeostasis of Number of Cells Within a Tissue (GO:0048873)	2/5	0.003740193574084189	0.6062657316462619	0	0	33.25190839694657	185.83221084604932	NOS3;SOX9
L-glutamate Import (GO:0051938)	3/17	0.004231355195953384	0.6062657316462619	0	0	10.709365889212828	58.52917943778152	SLC7A11;SLC17A8;SLC1A7
Cell Junction Organization (GO:0034330)	6/78	0.004439733549901909	0.6062657316462619	0	0	4.184447300771208	22.667824371218213	PKHD1;HMCN2;CNTN2;MAPT;L1CAM;AGRN
Regulation of Barbed-End Actin Filament Capping (GO:2000812)	2/6	0.0055371574549922436	0.6062657316462619	0	0	24.93765903307888	129.58290937085823	CARMIL1;CRACD
Regulation of Potassium Ion Import (GO:1903286)	2/6	0.0055371574549922436	0.6062657316462619	0	0	24.93765903307888	129.58290937085823	DLG1;ATP1B2
Endonucleolytic Clvg in 5'-ETS of Tricistronic rRNA Trans (GO:0000480)	2/6	0.0055371574549922436	0.6062657316462619	0	0	24.93765903307888	129.58290937085823	ABT1;NOP9
Regulation of Centriole Replication (GO:0046599)	3/20	0.006789917433024734	0.6062657316462619	0	0	8.81812725090036	44.02288215234313	RBM14;KAT2A;SASS6
Interleukin-3-mediated Signaling Pathway (GO:0038156)	2/7	0.007651131765512332	0.6062657316462619	0	0	19.94910941475827	97.21004915835813	CSF2RB;JAK2
Negative Regulation of Centriole Replication (GO:0046600)	2/7	0.007651131765512332	0.6062657316462619	0	0	19.94910941475827	97.21004915835813	KAT2A;RBM14
Positive Regulation of Spindle Assembly (GO:1905832)	2/7	0.007651131765512332	0.6062657316462619	0	0	19.94910941475827	97.21004915835813	DYNC1H1;SASS6
L-alpha-amino Acid Transmembrane Transport (GO:1902475)	4/40	0.007816015222299307	0.6062657316462619	0	0	5.560954816709293	26.97941948668768	SLC43A1;SLC7A11;SLC17A8;SLC1A7
Positive Regulation of Cell Projection Organization (GO:0031346)	7/115	0.007869010507146779	0.6062657316462619	0	0	3.2569444444444446	15.77931920490736	CARMIL1;CUL7;DPYSL3;MAP6;ATP1B2;TOX;ARHGAP35
Maintenance of Gastrointestinal Epithelium (GO:0030277)	3/22	0.008909205554622447	0.6062657316462619	0	0	7.889097744360902	37.24182866469149	CRACD;SOX9;MUC4
Axon Development (GO:0061564)	7/119	0.009414792347591702	0.6062657316462619	0	0	3.1399806701030926	14.649495578858142	SPTBN4;PLP1;CSPG5;NRCAM;MAPT;L1CAM;ARHGAP35
Ciliary Neurotrophic Factor-Mediated Signaling Pathway (GO:0070120)	2/8	0.010068957745723368	0.6062657316462619	0	0	16.623409669211195	76.43939274054206	CNTFR;JAK2
Interleukin-5-mediated Signaling Pathway (GO:0038043)	2/8	0.010068957745723368	0.6062657316462619	0	0	16.623409669211195	76.43939274054206	CSF2RB;JAK2
U4 snRNA 3'-End Processing (GO:0034475)	2/8	0.010068957745723368	0.6062657316462619	0	0	16.623409669211195	76.43939274054206	EXOSC5;EXOSC2
Poly(A)-dependent snoRNA 3'-End Processing (GO:0071051)	2/8	0.010068957745723368	0.6062657316462619	0	0	16.623409669211195	76.43939274054206	EXOSC5;EXOSC2
Positive Regulation of T Cell Differentiation (GO:0045582)	5/67	0.010397245108553197	0.6062657316462619	0	0	4.041149710504549	18.45275600605103	SMARCB1;PNP;SMARCC2;ZMIZ1;LEF1
Mammary Gland Development (GO:0030879)	3/24	0.011374011802623214	0.6062657316462619	0	0	7.137026239067056	31.94835691845037	JAK2;ARHGAP35;WNT3
