Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Regulation of Synaptic Vesicle Endocytosis (GO:1900242)	3/5	1.8717576265371238E-5	0.033485743938749146	0	0	120.42073170731707	1310.9058135754487	NLGN1;LRRK2;ABCA13
Negative Regulation of Signal Transduction by P53 Class Mediator (GO:1901797)	4/28	3.795609454066275E-4	0.18247326159197194	0	0	13.419727891156462	105.70042473643082	PRKN;MLXIPL;AARS1;TAF1
Protein Phosphorylation (GO:0006468)	12/305	4.6616717546578526E-4	0.18247326159197194	0	0	3.3625091804553504	25.793694413496183	RPS6KA4;PRRT1;STK24;PDPK1;ROCK2;LRRK2;ERBB2;CDK1;PRKD2;OXSR1;HIPK3;TAF1
Phospholipid Homeostasis (GO:0055091)	3/16	9.470066650242687E-4	0.18247326159197194	0	0	18.515947467166978	128.9118114216128	ABCA1;LIPG;SLC25A46
Positive Regulation of T Cell Receptor Signaling Pathway (GO:0050862)	3/16	9.470066650242687E-4	0.18247326159197194	0	0	18.515947467166978	128.9118114216128	CD28;PRKD2;NECTIN2
Regulation of Interleukin-2 Production (GO:0032663)	5/62	0.0010431001361866738	0.18247326159197194	0	0	7.080097785447225	48.60882269770665	PRNP;PSMA3;PDE4B;CD28;PRKD2
Reverse Cholesterol Transport (GO:0043691)	3/17	0.0011394095230522288	0.18247326159197194	0	0	17.192508710801395	116.51784564047831	ABCA1;LIPG;APOE
Pancreas Development (GO:0031016)	3/17	0.0011394095230522288	0.18247326159197194	0	0	17.192508710801395	116.51784564047831	FOXF1;DNAAF1;ILDR2
Postsynaptic Membrane Organization (GO:0001941)	3/17	0.0011394095230522288	0.18247326159197194	0	0	17.192508710801395	116.51784564047831	NLGN1;LRP4;APOE
Protein Modification Process (GO:0036211)	14/439	0.0012745383286763877	0.18247326159197194	0	0	2.709026282853567	18.056124126039617	PRRT1;PDPK1;ROCK2;LRRK2;OGA;P3H1;OXSR1;HIPK3;RPS6KA4;STK24;HLCS;MMP15;ERBB2;PRKD2
Response to Dopamine (GO:1903350)	2/5	0.0015060592050701526	0.18247326159197194	0	0	53.30094466936572	346.3633347491524	PRKN;LRRK2
NMDA Glutamate Receptor Clustering (GO:0097114)	2/5	0.0015060592050701526	0.18247326159197194	0	0	53.30094466936572	346.3633347491524	NLGN1;APOE
Negative Regulation of Dendritic Spine Maintenance (GO:1902951)	2/5	0.0015060592050701526	0.18247326159197194	0	0	53.30094466936572	346.3633347491524	PRNP;APOE
Positive Regulation of Interleukin-2 Production (GO:0032743)	4/40	0.0015073383911915594	0.18247326159197194	0	0	8.941043083900226	58.09362129799111	PSMA3;PDE4B;CD28;PRKD2
Phosphorylation (GO:0016310)	10/258	0.0015299602704748904	0.18247326159197194	0	0	3.2904238088810907	21.33021679774037	RPS6KA4;PRRT1;STK24;PDPK1;ROCK2;LRRK2;ERBB2;PRKD2;OXSR1;HIPK3
Lipid Biosynthetic Process (GO:0008610)	7/137	0.001663442385820109	0.18469098734165967	0	0	4.365766052129689	27.935952380233942	MLXIPL;GGPS1;LIPG;JMJD1C;PRKD2;SGMS2;AGPAT3
Regulation of Amyloid Precursor Protein Catabolic Process (GO:1902991)	3/20	0.0018582659430686833	0.18469098734165967	0	0	14.15638450502152	89.01692441369535	PRNP;ROCK2;APOE
Positive Regulation of Antigen Receptor-Mediated Signaling Pathway (GO:0050857)	3/20	0.0018582659430686833	0.18469098734165967	0	0	14.15638450502152	89.01692441369535	CD28;PRKD2;NECTIN2
Regulation of Protein Autoubiquitination (GO:1902498)	2/6	0.0022405481775781473	0.19087336617558598	0	0	39.973684210526315	243.88083529157913	LRRK2;TAF1
Response to Manganese Ion (GO:0010042)	2/6	0.0022405481775781473	0.19087336617558598	0	0	39.973684210526315	243.88083529157913	PRKN;LRRK2
Postsynaptic Membrane Assembly (GO:0097104)	2/6	0.0022405481775781473	0.19087336617558598	0	0	39.973684210526315	243.88083529157913	NLGN1;LRP4
Long-term Memory (GO:0007616)	3/22	0.002464660807094174	0.2004217356314308	0	0	12.664955070603337	76.06193440353556	PRNP;APOE;NFATC4
Telomerase RNA Localization (GO:0090672)	2/7	0.003111047988373135	0.20444719596197353	0	0	31.97732793522267	184.59857914901417	SHQ1;NHP2
Telomerase RNA Localization to Cajal Body (GO:0090671)	2/7	0.003111047988373135	0.20444719596197353	0	0	31.97732793522267	184.59857914901417	SHQ1;NHP2
Negative Regulation of Dendritic Spine Development (GO:0061000)	2/7	0.003111047988373135	0.20444719596197353	0	0	31.97732793522267	184.59857914901417	NLGN1;APOE
