Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Glutamatergic Synapse (GO:0098978)	8/122	1.4650910067037863E-4	0.02886229283206459	0	0	5.7179879158477105	50.48081609185856	PRRT1;NLGN1;CDKL5;AGO2;APOE;GRIK2;SH3GL1;LRRC4B
Intracellular Vesicle (GO:0097708)	3/14	6.269914578215792E-4	0.04716017173694914	0	0	21.88470066518847	161.39042421233071	ABCA1;ITSN1;ABCA13
Dendrite (GO:0030425)	11/276	7.181752041159768E-4	0.04716017173694914	0	0	3.3985413033137784	24.60135059695083	PRNP;PAK1;NLGN1;ATCAY;CDKL5;DAGLA;AMIGO1;LRRK2;LRP4;APOD;APOE
Endosomal Intralumenal Vesicle (GO:0160313)	2/5	0.0015060592050701526	0.07417341584970502	0	0	53.30094466936572	346.3633347491524	LRRK2;APOE
Multivesicular Body, Internal Vesicle (GO:0097487)	2/6	0.0022405481775781473	0.088277598196579	0	0	39.973684210526315	243.88083529157913	LRRK2;APOE
Zonula Adherens (GO:0005915)	2/7	0.003111047988373135	0.10214607561825127	0	0	31.97732793522267	184.59857914901417	NECTIN2;VCL
Lewy Body (GO:0097413)	2/8	0.0041140855531755435	0.11578212199651172	0	0	26.64642375168691	146.377830607865	PRKN;LRRK2
Dendrite Cytoplasm (GO:0032839)	2/9	0.005246252554834138	0.12918896916279063	0	0	22.838635049161365	119.90834397345523	CDKL5;LRRK2
Membrane Raft (GO:0045121)	7/179	0.007249968264473986	0.14785156794778012	0	0	3.292643667115126	16.22205914527884	ABCA1;LDHB;PRNP;DLC1;SLC1A2;LRP4;VCL
Extracellular Exosome (GO:0070062)	38/2059	0.008799358007489747	0.14785156794778012	0	0	1.5799508009502123	7.478028029021592	LAD1;AARS1;LRRK2;HSPA13;CNDP2;LDHB;ATP5F1A;FTH1;APOD;APOE;CCT8;ATP6V1E1;B2M;CTSB;TECTA;PRNP;ACTR2;TPI1;SSR4;MDH1;P3H1;CYBRD1;OXSR1;TAF6L;BHMT;PSMA3;DES;STK24;CPD;AGO2;RHOJ;CDK1;SERPING1;VWA2;CSPG4;VCL;NECTIN2;ITM2C
Vesicle (GO:0031982)	8/236	0.009666887893167317	0.14785156794778012	0	0	2.8423964475504113	13.186015978147266	ABCA1;SLC34A2;KIF5B;ITSN1;APOE;ABCA13;VCL;CYB561D2
Extracellular Vesicle (GO:1903561)	38/2082	0.010438938481496384	0.14785156794778012	0	0	1.5601459826935384	7.11771731640676	LAD1;AARS1;LRRK2;HSPA13;CNDP2;LDHB;ATP5F1A;FTH1;APOD;APOE;CCT8;ATP6V1E1;B2M;CTSB;TECTA;PRNP;ACTR2;TPI1;SSR4;MDH1;P3H1;CYBRD1;OXSR1;TAF6L;BHMT;PSMA3;DES;STK24;CPD;AGO2;RHOJ;CDK1;SERPING1;VWA2;CSPG4;VCL;NECTIN2;ITM2C
Postsynaptic Specialization Membrane (GO:0099634)	4/69	0.010776741648967015	0.14785156794778012	0	0	4.944678178963893	22.40119704773626	NLGN1;DAGLA;GRIK2;LRRC4B
Autolysosome (GO:0044754)	2/13	0.011000256739178847	0.14785156794778012	0	0	14.530732425469267	65.53122988392916	LRRK2;FTH1
