Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Chromatin Remodeling (GO:0006338)	40/290	9.750370484141829E-6	0.036879531944572184	0	0	2.2789791183294663	26.29532888541424	HDAC4;KDM5B;PAXIP1;SATB1;CHD7;ZBTB1;JADE1;BAZ2B;CHD3;CHD2;CHD1;IWS1;CECR2;MTA1;DPF1;SMARCAD1;DMAP1;SUDS3;NFRKB;BRD4;BRD3;KDM6B;KDM4B;ACTL6B;PIH1D1;ACTR5;SIRT7;ARID1A;SIRT1;MSL1;DDB1;PER2;CDK9;KAT2B;PER1;SFPQ;PADI2;TOP1;ERCC6;PRMT9
Chromatin Organization (GO:0006325)	46/362	1.917812373612698E-5	0.036879531944572184	0	0	2.0756395503230944	22.545057787866096	HDAC4;KDM5B;PAXIP1;SATB1;MIDEAS;CHD7;ZBTB1;JADE1;SMC6;BAZ2B;CHD3;CHD1;IWS1;CECR2;MTA1;MIS18BP1;DPF1;EPC1;SMARCAD1;DMAP1;SUDS3;NFRKB;BRD4;BRD3;KDM6B;KDM4B;ACTL6B;NSMCE3;PIH1D1;ACTR5;ATAD2;ARID1A;SIRT1;MSL1;PARP10;PER2;KAT2B;PER1;SFPQ;CDAN1;ZZZ3;KAT6B;PADI2;TOP1;ERCC6;PRMT9
Cellular Response to Monoamine Stimulus (GO:0071868)	5/8	6.166884634866616E-5	0.07905946101899003	0	0	23.423694779116467	227.06301204890548	GNAS;DRD1;ADCY6;DRD5;TGM2
Cellular Response to Catecholamine Stimulus (GO:0071870)	6/13	9.893574289403809E-5	0.09512671679261762	0	0	12.052965873613951	111.14088020103591	PRKN;GNAS;DRD1;ADCY6;DRD5;TGM2
Calcium Ion Transmembrane Import Into Cytosol (GO:0097553)	10/38	1.4122248619581647E-4	0.09695432534010591	0	0	5.031584062196307	44.60586818136413	JPH4;CACNA1I;TRPM2;ATP2B4;TRPV3;CACNA1C;GRIN2C;CACNA1E;CACNA1H;SLC8A1
Positive Regulation of Blood Vessel Endothelial Cell Migration (GO:0043536)	12/53	1.5125479772247412E-4	0.09695432534010591	0	0	4.126807112128653	36.30164339963545	MAP2K3;GREM1;NUS1;SRPX2;AKT2;PDGFB;PRKD1;ETS1;FGF2;SIRT1;VEGFA;FGFR1
Cell Surface Receptor Protein Tyrosine Kinase Signaling Pathway (GO:0007169)	37/297	1.810634418618215E-4	0.09948142820008078	0	0	2.021186490978158	17.415883015794673	DDR1;ALK;C2CD5;FOXC1;SHC3;SRC;PDGFB;A1BG;FGF2;FOXO1;SOCS2;ZFYVE27;EFNB3;AKT2;BLNK;JAK2;PDK2;EPHB3;NUS1;PDGFRA;EPHA7;MUSK;SLC39A14;PGF;NFATC4;VAV2;VEGFA;TIAM1;AHI1;DOK4;RAPGEF1;RAPGEF2;PHIP;PRKD1;POLR1G;RHOQ;FGFR1
Regulation of Stem Cell Differentiation (GO:2000736)	11/50	3.6946764279008505E-4	0.1658117792386439	0	0	3.974320183094767	31.410830484731402	PDGFRA;NOTCH1;MTA1;JAG1;YTHDF2;METTL3;SETD1A;SLC4A11;CHD3;ZFP36L2;WNT3
G Protein-Coupled Dopamine Receptor Signaling Pathway (GO:0007212)	6/16	3.8801508402178765E-4	0.1658117792386439	0	0	8.435719668425019	66.25807621253414	GNAS;FLNA;DRD1;RGS9;ADCY6;DRD5
Positive Regulation of DNA-templated Transcription (GO:0045893)	117/1304	5.462698588704135E-4	0.20418832562354397	0	0	1.4169123841617524	10.644408991998993	ATF1;PRDM4;MYRFL;RBPJ;ETS1;FGF2;EPC1;SMARCAD1;PITX2;NFRKB;MAP3K5;PITX3;DDX17;MAP2K3;FBXW11;RFX3;SOX12;ISL2;SMO;KAT6B;PHIP;PRKD1;NOTCH1;MAZ;PDGFB;GATA4;BHLHE22;FOXO3;RLF;FOXO1;MED12L;NPAS3;GALR2;NUP85;DMAP1;BCL9L;WNT4;AKIRIN1;JAG1;ANKRD23;NFATC2;MAFA;NFATC4;CDK9;NR4A2;AHI1;LHX2;TCF4;HOXD8;PHF20;ONECUT1;CHD3;YBX1;PKD2;ING1;CDC73;ING3;HJV;HNF4A;JAK2;BRD3;KDM6B;KLF10;ACTR2;ACTR5;PAX6;SIRT7;PPRC1;ARID1A;SIRT1;ETV4;MSL1;GREM1;TOX3;KAT2B;MED25;SFPQ;ZEB2;TAL1;CDH13;PPARA;RHOQ;PRKN;HDAC4;FOXC1;TMF1;USP16;MYRF;KARS1;RELB;BCLAF1;SCAF8;RXRA;MTA1;LEO1;E2F3;E2F8;BRD4;ARNT2;CDX2;STAT2;ATAD2;GTF2H1;MAPK15;POU4F1;VEGFA;ASXL1;FOXR1;PER1;KLF7;TEF;WT1;CTNNB1;NAA16;BMAL2;ERCC6;NAA15
