Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Cell-cell Junction (GO:0005911)	49/336	1.8884816797986624E-7	6.836303680871158E-5	0	0	2.443963224678976	37.83822679515551	PTPRU;CELSR1;PKD2;PVR;VSIG10;CELSR3;ACTG1;CCN3;KIRREL1;MAGI3;SHROOM3;FRMD4A;FRMD4B;RPGRIP1L;TIAM1;RAP2B;CLDN15;PARD3;CDH10;RAPGEF2;CDH13;DSG2;COL17A1;SPTBN4;NOTCH1;SRC;PRKCZ;APOLD1;PDZD2;CCDC85B;EPB41L3;FLNA;CTNNA3;NPHP4;PAK4;MPP2;JAG1;CADM1;MAPK15;PPP1CA;VEGFA;AHI1;DLG1;CTNNB1;PKN2;FAT4;NECTIN4;FERMT2;NECTIN2
Adherens Junction (GO:0005912)	25/164	8.766179227662206E-5	0.015866784402068592	0	0	2.5476866213451257	23.80055062450931	SPTBN4;NOTCH1;CELSR1;PVR;CELSR3;CCDC85B;CTNNA3;PAK4;JAG1;SHROOM3;FRMD4A;FRMD4B;PLEKHA7;PPP1CA;VEGFA;AHI1;DLG1;PARD3;CDH10;CDH13;CTNNB1;FAT4;NECTIN4;FERMT2;NECTIN2
Non-motile Cilium (GO:0097730)	10/47	8.943283105181293E-4	0.10791561613585428	0	0	3.80584666298952	26.71490321355818	AHI1;GRK2;SMO;SEPTIN2;TULP3;NPHP4;DRD1;PKD2;SEPTIN7;DRD5
Nuclear Chromosome (GO:0000228)	14/99	0.005900161553873315	0.5339646206255351	0	0	2.320367479819828	11.909925459157389	SYCP1;ACTR5;GINS3;CHD1;SYCE2;SMCHD1;ING3;FIGNL1;NCAPD2;RGS12;DMAP1;TOP1;NFRKB;BRD4
Neuron Projection (GO:0043005)	52/563	0.010691093596483287	0.700138540199588	0	0	1.4422929737805745	6.545622036329721	PCSK2;CNTNAP2;PCSK1;ROBO3;NRP2;KNDC1;SEPTIN14;SLC8A1;ACTG1;RPH3A;ALCAM;ZFYVE27;SCN11A;PALM;TMEM108;RAC3;LDLRAP1;RGS9;SLC18A2;GPR179;EPHB3;EPHA7;SSTR1;CPT1C;CD2AP;SMO;PALLD;DCX;RAPGEF2;CDH13;SHANK1;PRKN;SPTBN4;OPRL1;TRAK1;IGSF9;TRAK2;PGRMC1;FXR2;BRINP1;MARK2;CADM1;HOMER1;RAB27A;DLG1;GRIN3A;GPR149;RGS12;CNTN4;RGS11;CNIH2;HCN2
Glutamatergic Synapse (GO:0098978)	15/122	0.015711727457678588	0.700138540199588	0	0	1.9741040659169231	8.199140924531614	PRRT1;VPS18;GRIPAP1;NRP2;GRIK4;SIPA1L2;SPTB;RAB11A;BCR;ARHGAP33;EFNB3;AKAP9;RAC3;DLGAP2;DOCK1
Voltage-gated Calcium Channel Complex (GO:0005891)	7/41	0.017582263868976395	0.700138540199588	0	0	2.8930662762842694	11.690489158461666	CACNA1I;CACNG7;CACNA2D3;CACNA1C;CACNA1E;CACNG3;CACNA1H
Pigment Granule (GO:0048770)	5/25	0.02265749591738869	0.700138540199588	0	0	3.5103539156626504	13.294638894382205	MREG;DCT;HPS4;RAB27A;SYTL2
Germ Cell Nucleus (GO:0043073)	4/17	0.02322997789119833	0.700138540199588	0	0	4.318805348150721	16.248691821989155	DYNC2I1;SYCP1;DYNLT2B;DYNLL1
Male Germ Cell Nucleus (GO:0001673)	4/17	0.02322997789119833	0.700138540199588	0	0	4.318805348150721	16.248691821989155	DYNC2I1;SYCP1;DYNLT2B;DYNLL1
Calcium Channel Complex (GO:0034704)	8/53	0.0232314270325139	0.700138540199588	0	0	2.4985492662473794	9.400165236701019	CACNA1I;CACNG7;FKBP1B;CACNA2D3;CACNA1C;CACNA1E;CACNG3;CACNA1H
Set1C/COMPASS Complex (GO:0048188)	3/10	0.0248768304946118	0.700138540199588	0	0	6.012889366272825	22.210521443974695	RBBP5;SETD1B;SETD1A
Ionotropic Glutamate Receptor Complex (GO:0008328)	6/36	0.030205726107423062	0.700138540199588	0	0	2.808892238131123	9.830346922954758	CACNG7;GRIN3A;GRIK4;GRIN2C;CNIH2;CACNG3
Apical Junction Complex (GO:0043296)	13/110	0.03125953649815586	0.700138540199588	0	0	1.8854264292408622	6.533814783980891	SHROOM3;FRMD4A;FRMD4B;PLEKHA7;ACTG1;DLG1;RAP2B;CLDN15;PARD3;RAPGEF2;PKN2;MPDZ;NECTIN2
MLL3/4 Complex (GO:0044666)	3/11	0.03254218379249969	0.700138540199588	0	0	5.260996240601504	18.020059381228943	KDM6B;PAXIP1;RBBP5
H4/H2A Histone Acetyltransferase Complex (GO:0043189)	5/28	0.035571394058398154	0.700138540199588	0	0	3.0519905709795703	10.182092150326469	ING3;ACTL6B;EPC1;DMAP1;ACTG1
NuA4 Histone Acetyltransferase Complex (GO:0035267)	5/28	0.035571394058398154	0.700138540199588	0	0	3.0519905709795703	10.182092150326469	ING3;ACTL6B;EPC1;DMAP1;ACTG1
NatA Complex (GO:0031415)	2/5	0.0387713670630518	0.700138540199588	0	0	9.348359629351364	30.38285372234491	NAA16;NAA15
Weibel-Palade Body (GO:0033093)	2/5	0.0387713670630518	0.700138540199588	0	0	9.348359629351364	30.38285372234491	ECE1;APOLD1
Cullin-RING Ubiquitin Ligase Complex (GO:0031461)	23/235	0.04168685778156564	0.700138540199588	0	0	1.5283919055163473	4.856571290515071	PRKN;FBXW5;FBXW11;FBXW7;FBXO17;KLHL21;KLHL3;FBXL15;KLHL35;KLHL13;FBXL14;DDB1;SOCS2;KLHL5;APPBP2;KLHL8;SPOP;DCAF10;DEPDC5;ZSWIM4;ZSWIM5;ANAPC1;KLHDC10
Ciliary Membrane (GO:0060170)	7/49	0.04253577744731942	0.700138540199588	0	0	2.3410005027652088	7.391497776826247	BBS1;GRK2;SMO;SEPTIN2;DRD1;DRD5;GPR157
